ParticipantID,Modality,TimesSystemDamaged,TimesDamaged,TimesDestroyed,TimesShieldBrokenNoDamage,TimesShieldBrokenWithDamage,BestAttemptTime
P1,multimodal,11,5,4,0,3,106.44
P1,unimodal,1,1,0,3,0,155.86
